Array,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4
EGFR_1103_1115,1,0,1,-1,1,1,-1,-1,2,1,1,2,-1,1,1,1,4,2,1,4,5,2,1,6,1,4,9,1,5,8,1,5,13,3,5,11,2,7,9,2,7,12,3,6,12,2,7,14,2,8,16,3,8,13,4,8,17,3,8,17,5,9,15,3,3,7,16,35,0,0,-1,0,1,0,0,-1,1,0,-1,0,1,1,-1,0,0,1,0,1,1,-1,4,1,1,3,3,1,1,3,0,1,2,1,2,6,1,2,4,0,2,4,1,5,1,1,1,6,3,2,5,2,3,3,1,2,7,1,3,6,3,3,7,2,1,4,9,19,2,0,2,1,1,0,0,1,0,0,-1,1,-1,0,0,-1,2,0,-2,2,0,1,0,3,2,3,1,0,1,2,0,1,0,2,1,4,0,2,2,1,0,4,1,2,3,-1,3,2,1,1,1,2,2,3,-1,1,3,0,2,6,1,1,4,1,0,4,8,12,1,0,-3,-1,0,0,1,1,2,0,1,0,1,-1,0,0,1,2,1,0,1,1,2,2,1,2,5,0,3,4,3,2,5,0,2,9,2,4,7,-2,4,7,3,3,10,2,4,9,0,5,8,2,5,10,0,8,9,1,4,9,3,5,11,1,1,6,9,21
EGFR_1118_1130,0,-1,0,1,0,0,2,1,-1,1,-2,-1,0,1,-1,1,0,-2,0,-1,-2,-1,-1,-1,0,1,-4,-1,0,-3,2,0,-3,1,-1,-5,-1,0,1,-1,-2,-4,0,0,-2,0,0,-2,0,-1,-2,-1,0,0,-1,-1,-1,1,-1,-1,1,0,0,0,0,-1,0,-4,2,1,1,0,0,-1,1,1,-3,-1,1,-2,-2,-1,-1,-1,0,0,-1,-1,-1,0,-2,-3,1,-2,1,-2,0,-1,1,1,-1,0,-2,-1,-1,-3,-2,-1,-2,-1,0,-1,-1,-1,-1,0,0,0,-1,1,1,0,0,-1,-2,0,1,0,1,1,-1,0,-1,-1,1,-3,0,-1,0,0,1,-2,0,2,1,0,1,-1,0,-1,-1,-1,0,1,0,-1,-2,-1,-1,0,1,3,-1,1,-1,-1,1,0,-1,2,1,2,-1,-1,-2,0,-2,1,-1,0,-1,1,-1,-1,0,0,-2,1,-1,1,1,2,-2,0,-1,-1,0,-1,-1,0,1,1,1,0,-1,-1,-1,0,2,-3,1,0,2,0,0,0,-1,1,1,1,0,-2,-1,0,0,-1,0,-1,1,1,-4,-1,0,-1,0,0,-3,-1,-1,-1,0,0,0,-2,0,-3,-1,-1,-1,0,-2,1,1,1,-1,-1,-1,-2,1,0,-1,2,-2,-1,0,0,-1,1,-1,-1,-1,-3
VGFR1_1162_1174,0,1,0,0,-1,-3,-1,0,-2,-1,0,-2,1,-1,0,0,0,-1,1,1,1,-1,-2,0,1,-1,0,-1,-1,2,0,0,0,-1,-1,2,1,0,3,2,2,2,-1,1,1,0,1,4,1,0,2,1,1,5,1,1,2,1,2,5,-1,3,3,1,0,0,4,12,0,-1,0,0,0,-4,0,-2,-5,0,-1,0,-2,-1,-4,0,-1,-3,-1,0,0,-1,-1,-1,0,-2,-1,0,0,-3,0,-1,-3,0,-2,-1,0,-1,0,0,0,-2,-1,-1,-1,-1,0,-3,-1,-1,-1,1,-2,-2,0,0,2,0,1,0,1,0,0,1,0,0,1,2,-1,-1,1,0,-3,-2,0,-1,-1,0,-1,-3,0,-3,-2,-1,-1,-2,-1,-1,0,1,0,-1,1,-1,0,1,0,-3,-1,1,-1,0,-2,0,0,2,-2,0,0,0,0,-2,-2,0,0,1,-1,0,-1,0,-1,0,0,0,2,1,1,0,1,-1,-1,1,0,2,0,1,0,-1,1,0,-2,-2,-1,-1,-3,-1,2,-1,-1,0,0,1,0,1,0,-2,0,-2,0,-2,0,1,-2,1,0,1,1,0,1,-1,1,1,0,0,-1,0,0,1,0,0,1,1,1,1,0,-1,0,1,1,2,1,3,2,2,-1,0,0,1,3,0,1,2,2,6
EGFR_1165_1177,0,-1,-1,1,-1,0,1,-2,0,0,2,0,0,2,1,0,1,1,0,1,3,2,0,2,2,0,5,1,3,7,3,3,8,3,3,9,3,2,10,1,3,7,1,3,7,1,4,10,2,5,7,4,6,9,3,6,12,3,7,11,2,5,11,1,1,7,12,23,-1,0,1,1,1,-1,1,3,-1,0,0,1,0,0,2,0,2,2,0,1,3,1,-1,-1,2,2,5,2,2,3,1,1,6,0,1,5,0,0,2,0,1,6,1,3,5,1,3,4,0,4,1,3,3,6,0,5,7,0,4,6,2,3,6,0,1,2,8,13,0,0,-1,0,0,-2,0,2,2,0,1,0,0,0,-3,-1,0,1,1,1,1,0,0,2,0,1,4,0,2,2,2,1,2,1,1,2,1,1,4,-2,3,2,0,2,3,2,2,2,2,1,5,0,6,6,-1,2,5,1,2,5,0,3,6,-1,0,3,6,13,-2,2,-1,0,0,0,1,0,-1,-1,-2,1,0,1,-1,1,-1,3,1,0,3,1,2,4,1,-1,5,1,4,3,-1,1,4,1,4,5,2,3,5,0,4,7,-1,3,5,1,6,9,0,4,9,1,5,9,1,4,8,2,5,11,4,5,9,0,3,6,11,17
VGFR2_1168_1180,-1,1,0,0,0,2,-1,1,1,-1,1,1,0,1,3,1,1,3,1,0,4,0,4,4,1,3,6,2,3,7,3,2,7,1,3,7,2,3,7,1,6,10,0,4,8,1,3,9,1,4,7,3,6,9,0,4,9,2,6,11,2,5,11,0,3,6,13,26,0,-1,0,0,-1,-3,0,2,1,-1,0,-2,-1,-1,0,0,0,-1,-1,-1,0,1,-1,-2,0,0,0,0,1,0,-1,1,0,1,0,2,0,0,2,1,1,2,0,2,3,1,1,1,2,1,2,1,2,4,0,3,2,1,1,4,1,4,5,1,2,4,6,15,0,-1,0,-1,-1,-2,-2,0,-2,-1,0,-1,-1,-2,-3,-2,0,0,0,0,0,1,-2,0,0,0,-1,0,0,-2,-1,-2,0,0,1,-1,0,1,-1,0,-1,1,-2,1,0,-1,-2,3,0,1,4,0,0,2,0,-1,3,0,2,0,-1,-1,2,0,0,0,3,5,0,0,-2,0,0,0,-2,1,1,0,2,-2,-1,1,-1,-1,-1,1,1,2,2,0,0,2,0,4,2,1,1,2,1,2,3,0,2,10,1,3,3,1,2,7,2,4,6,0,4,9,2,5,8,1,1,10,2,2,9,3,6,11,2,5,10,1,0,4,9,15
PAXI_111_123,-1,3,3,4,6,17,8,17,31,11,27,55,16,37,85,20,50,105,23,62,123,31,71,152,35,86,176,38,96,199,45,109,221,49,121,245,51,137,269,59,147,291,64,160,312,66,168,326,72,181,357,74,192,379,79,202,399,84,205,412,89,218,445,50,100,248,473,978,0,1,1,1,1,5,1,4,9,2,9,13,4,7,20,6,12,22,7,15,31,8,20,38,8,20,44,12,25,55,12,32,63,12,31,66,15,37,73,14,40,81,17,42,89,18,46,95,19,50,100,22,57,110,24,60,117,23,63,128,25,67,134,12,26,65,125,255,-2,1,1,0,1,1,0,4,4,3,3,8,3,6,11,4,8,13,3,8,16,3,9,20,3,13,25,7,14,30,6,15,31,7,19,33,8,19,40,9,22,49,9,22,50,9,26,53,14,29,58,12,28,68,13,34,66,14,35,74,16,41,79,8,15,40,79,168,2,1,0,1,2,6,3,5,11,3,9,18,4,11,31,9,15,35,11,25,48,10,32,63,14,34,78,18,40,86,19,53,106,24,61,120,25,63,135,28,74,149,32,83,163,34,89,182,38,97,198,40,102,217,44,111,223,48,118,234,49,128,250,25,50,129,246,510
ERBB4_1181_1193,1,0,1,-1,-1,-2,1,-1,-1,0,2,-1,0,0,-1,0,0,-1,1,0,0,-1,0,3,1,1,1,0,1,2,-1,1,3,0,1,2,2,2,3,0,1,5,2,3,4,1,2,4,1,2,2,0,3,5,3,2,3,1,3,4,1,4,6,1,2,3,6,15,-1,0,-2,-2,0,-2,-1,-1,0,-1,-2,-4,-1,-1,0,0,-1,-3,0,1,-2,1,-2,1,0,1,-2,1,-1,1,-2,0,1,1,-1,1,1,3,1,0,1,1,1,0,1,0,1,3,0,-1,0,-1,1,3,0,-3,2,0,1,2,-1,0,4,-1,1,3,2,6,0,1,0,-1,-2,-2,0,0,-1,0,0,-2,-1,0,-2,-1,-2,0,-1,0,-2,-1,-1,0,0,0,-1,1,-1,1,3,-1,2,1,0,1,0,1,1,-2,2,3,1,2,1,0,2,2,1,0,-1,-1,0,2,0,2,1,2,1,3,2,2,3,0,2,2,5,8,1,1,1,1,0,-1,0,1,-1,-1,-1,0,0,1,1,1,1,0,0,2,-2,-1,-1,0,-1,-1,0,-1,1,0,-1,2,0,-1,1,1,1,1,1,0,0,1,1,2,0,1,0,2,1,1,4,0,3,1,-1,1,3,0,0,3,0,1,2,1,1,1,4,5
PLCG2_1191_1203_C1200S,0,1,2,4,8,19,9,22,38,13,31,68,17,47,94,23,57,120,28,70,146,32,82,172,40,100,200,42,113,225,51,124,241,56,138,275,63,151,301,68,164,334,70,177,351,74,186,373,80,202,404,84,212,436,88,227,441,94,230,465,98,247,485,48,99,249,482,971,-1,0,-1,0,1,5,2,1,13,4,10,19,7,14,28,5,18,39,8,24,46,12,28,58,13,34,66,14,38,75,14,43,84,17,48,96,21,51,96,22,55,117,23,62,122,25,69,130,26,70,145,29,77,151,31,83,169,34,89,173,35,96,193,21,43,111,226,456,0,-1,-2,0,3,3,2,3,5,2,6,8,5,10,13,3,9,18,6,11,24,7,15,32,9,16,36,7,19,40,9,24,45,8,28,55,14,28,61,11,32,67,14,36,72,16,38,72,16,41,81,16,43,91,19,44,94,18,49,98,20,51,108,9,18,49,99,200,1,2,0,1,1,7,2,8,16,4,13,26,4,17,42,7,24,51,12,31,68,15,39,86,18,46,101,24,56,116,25,66,138,29,73,153,33,86,170,34,89,187,40,103,201,45,108,214,44,116,232,51,124,249,49,134,263,53,140,303,59,148,296,21,48,131,254,505
EGFR_1190_1202,-1,0,-1,1,0,-1,-1,-1,-3,0,2,2,-1,0,2,2,1,1,1,1,3,0,3,4,-1,2,2,2,2,4,0,3,4,0,4,2,1,3,5,1,4,8,2,3,8,2,4,7,2,5,8,1,3,10,2,5,8,0,3,8,2,5,8,1,2,5,10,21,1,2,-2,0,-1,-2,-1,0,-3,1,-1,-2,0,0,-1,-2,-2,0,0,-1,1,1,0,0,0,0,-1,-1,-2,2,1,-1,1,1,2,0,0,0,2,1,1,1,-1,3,2,1,0,1,-1,1,3,1,1,2,1,2,1,0,0,3,0,4,5,1,0,1,5,12,0,0,2,1,1,0,0,0,-2,1,0,1,1,1,0,1,1,0,1,1,2,1,-1,-1,1,0,-1,1,-1,3,0,1,3,1,-1,4,-1,-1,2,2,0,4,0,4,3,-1,1,1,0,1,4,0,0,5,1,2,5,-1,3,3,-1,3,2,1,1,3,5,8,0,-1,2,-1,-1,1,-1,0,-1,0,0,-3,0,-1,0,0,-1,1,0,-1,4,0,1,1,2,-1,3,1,3,0,0,2,4,-1,3,4,2,2,4,2,2,5,1,2,4,2,2,6,1,1,4,0,3,5,1,3,5,0,1,6,2,4,5,1,0,2,5,13
AMPE_5_17,0,1,2,0,-1,4,1,2,4,1,3,2,0,0,1,0,0,3,1,1,-2,1,1,0,-1,2,2,1,3,4,-1,-1,1,0,1,0,0,-1,1,0,1,3,1,2,1,0,1,0,0,-1,1,1,1,0,0,1,0,0,-1,-1,0,2,3,-1,0,0,1,1,1,0,0,2,-1,3,1,0,2,0,0,2,0,-1,0,0,-1,3,1,2,1,0,0,1,-1,0,1,1,1,-1,0,0,2,-2,0,0,0,-1,0,-1,-1,-1,0,0,-2,0,1,0,2,0,1,0,-1,1,1,0,1,1,-1,-3,1,-1,-1,-1,-1,2,1,-1,0,2,2,0,2,3,1,2,2,-1,2,3,0,-1,0,3,2,1,0,3,1,0,1,3,0,0,3,0,0,-1,1,2,1,1,2,2,0,0,2,-1,1,1,1,1,2,-1,1,3,2,1,4,3,1,2,1,-1,1,-1,2,2,1,-2,4,0,1,1,3,2,1,1,0,0,0,2,2,2,1,1,1,3,2,2,4,0,2,3,1,2,5,1,1,2,0,1,4,-1,2,1,-1,0,2,-1,1,2,1,1,1,1,-1,1,0,0,2,2,1,1,0,0,3,0,1,2,1,1,1,0,1,3,0,0,4,0,1,1,2,0
VGFR1_1206_1218,-2,1,1,-2,0,2,-1,0,2,0,1,-1,1,1,2,1,1,0,-1,2,2,1,2,2,-1,2,3,-1,-1,3,0,2,3,0,0,2,-2,2,4,0,0,2,-1,3,3,1,0,2,0,-1,3,0,2,4,0,1,2,1,1,4,0,3,1,-2,1,2,5,9,0,0,0,-1,1,1,0,0,0,1,2,1,0,1,-1,0,0,1,-2,0,-1,1,1,1,0,1,1,0,0,2,0,2,2,-1,2,1,1,1,1,0,1,2,1,3,1,-2,1,1,1,-1,0,1,-1,1,1,2,1,0,-1,-1,1,1,2,0,-1,0,2,7,0,-1,0,0,1,-2,1,0,-1,0,-1,1,0,-1,1,-1,-2,-1,0,-1,-1,-1,2,2,0,-1,1,0,-1,-1,1,2,-1,0,1,-1,0,0,0,1,-1,0,0,-2,2,1,1,-1,1,0,-1,0,0,1,-1,-1,2,0,0,2,0,1,2,-1,0,2,2,3,1,0,0,-1,-1,1,0,-1,3,1,0,-1,0,0,3,-1,-1,2,-1,1,1,1,1,1,-1,2,2,1,-2,2,0,0,3,0,0,1,-1,1,2,0,0,2,0,1,4,2,1,1,1,-1,1,-1,0,-1,0,2,3,0,1,3,0,1,0,-1,0,2,0,2
VGFR2_1207_1219_C1208S,0,2,-1,-1,1,-2,-2,-2,-2,-1,-1,-3,0,0,-2,-1,0,-2,0,-1,-4,-2,-3,-4,0,-2,-3,-1,-1,-3,1,0,-1,-1,-2,-1,0,0,-2,0,-2,0,-1,-1,0,0,0,-2,1,-2,-2,0,1,-3,0,0,0,0,-1,-2,0,1,-3,0,-1,0,-1,2,1,1,1,-1,0,-1,-1,-1,-1,0,-1,-2,0,0,-3,0,0,-1,0,-2,0,0,-1,-1,0,1,-1,-1,-1,3,1,1,1,-1,0,0,1,0,3,-1,-1,1,0,-1,1,1,0,2,-1,-2,-1,0,0,0,0,-1,1,-1,-1,0,0,1,0,-1,0,3,3,2,0,1,-1,0,-1,-1,1,0,-3,0,-1,0,0,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,1,0,-1,0,-1,-3,1,-1,-2,0,-1,-1,-2,1,-2,1,1,1,-1,0,0,0,1,-2,-1,-1,0,0,0,0,0,0,2,1,2,4,-1,0,2,1,1,0,-2,3,0,1,1,1,-1,-1,-2,0,-1,-2,0,-2,-1,0,0,-1,0,-2,1,-2,-1,-2,0,0,-1,-1,-2,1,-1,-1,0,-2,0,-2,2,-2,1,0,0,0,-1,0,1,1,-2,0,1,-3,0,-1,-1,-1,0,-1,0,-1,1,-1,0,0,0,-1,0,1,-2,-1,-1,4
PLCG2_1211_1223,1,1,-1,1,-1,0,-2,-1,0,-1,-2,-1,0,-1,-2,0,-1,-2,-1,-2,-2,-1,0,0,0,-2,-1,0,-2,1,0,1,0,-2,0,-2,-1,-2,-3,-2,-5,-5,2,-1,-1,-1,0,-2,1,-2,-1,-3,-2,1,-1,-3,-2,-1,-2,-1,-2,-2,-3,-1,-3,-3,-1,-2,0,0,1,1,0,1,-1,-1,0,0,0,-1,2,-2,0,0,-1,-1,0,-1,-2,-1,-1,-1,1,-2,-2,-2,-1,-1,0,0,-1,0,-2,1,2,-1,-3,0,-1,-1,-1,0,-1,-1,0,-1,1,-2,-2,1,-3,-1,0,-2,-2,2,-2,-1,0,1,-2,0,0,-3,-2,-6,1,0,-1,-1,1,1,0,-1,-1,0,0,0,0,-1,1,0,0,0,-1,-1,-3,-1,0,0,0,-1,0,1,-1,-2,0,-1,-3,-1,-1,-2,-1,-1,-3,0,-1,-1,-1,0,-2,0,-1,-2,-2,-2,-4,0,-1,-1,-2,-1,0,1,-1,-2,-2,-1,-3,-1,1,-3,-5,-6,0,0,-2,-1,0,-1,0,0,1,2,0,1,0,0,-2,-1,0,-1,-1,-1,-1,-2,0,-1,-1,-2,-2,0,-3,-3,-1,-2,-3,2,-1,-1,-2,1,-3,-2,0,-5,-2,-1,-2,-1,-1,-3,1,-1,-6,-2,0,-3,0,-2,0,-1,-2,-1,-1,-3,-1,-1,-2,-6,-4,-9
CD3Z_116_128,-1,-1,-3,0,0,-3,0,1,1,1,0,0,-1,1,0,1,2,6,1,2,4,2,5,5,0,4,6,2,5,13,1,3,9,1,5,10,1,6,13,2,6,14,3,8,15,2,4,14,4,11,15,4,9,17,3,10,17,-3,11,20,2,10,19,0,6,11,23,45,0,-1,0,1,-2,-1,-2,-1,-1,-1,0,-1,-1,-1,-1,-1,1,0,0,1,-3,0,1,0,0,0,1,1,-1,1,-2,0,2,-1,1,2,1,3,4,0,3,5,1,2,0,0,1,4,2,3,5,1,4,7,0,2,7,1,2,2,1,2,6,-1,3,6,9,18,1,0,1,0,-2,-4,-2,-1,-3,-1,-2,-1,0,-1,-1,1,1,1,0,0,0,0,0,-3,1,0,0,1,1,1,-1,1,1,1,1,0,1,-2,2,1,0,2,-1,0,2,0,1,4,2,2,1,2,3,3,1,4,5,0,2,5,1,2,7,0,2,4,6,15,0,0,-1,-1,-2,0,0,-1,0,1,-1,1,0,-2,0,0,3,1,0,0,0,0,2,1,0,3,3,-1,3,6,2,1,3,0,3,7,1,4,7,2,2,8,4,1,8,-1,4,9,2,4,11,3,5,11,2,4,8,3,6,10,3,4,12,1,0,8,14,25
CD3Z_117_129,-2,0,0,0,-2,-2,1,0,0,1,1,1,0,0,1,1,-1,2,0,2,2,1,2,9,0,4,4,1,4,11,1,3,8,3,5,15,2,8,17,3,10,21,3,8,18,2,7,20,6,9,24,4,10,18,3,13,28,2,15,27,6,18,29,2,9,16,29,69,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,1,-1,0,0,1,1,-1,0,3,1,0,0,1,2,2,-1,1,4,-1,0,3,0,1,5,0,1,3,0,2,4,1,3,5,1,2,9,1,1,4,2,7,4,0,4,6,1,2,4,1,0,4,10,18,0,-1,-2,1,1,0,-1,0,-1,0,-1,-1,0,-2,-1,0,1,0,0,-1,0,0,1,2,0,0,-2,0,2,1,1,2,2,1,1,2,0,1,1,0,1,2,0,2,1,0,2,1,0,0,3,1,2,5,-1,0,6,1,3,7,0,3,4,0,1,3,7,10,0,-2,0,0,-2,1,0,-1,0,-1,-1,2,0,-2,-2,0,2,0,-1,2,1,1,1,2,0,1,4,1,3,2,2,0,5,2,2,7,1,3,6,-1,4,11,1,5,11,2,5,9,2,6,12,2,7,10,1,5,15,3,10,14,3,11,19,1,4,7,21,44
MET_1227_1239,0,0,2,0,1,6,2,4,9,2,6,12,4,6,15,4,10,19,4,11,21,6,13,25,5,12,25,7,16,31,5,17,34,8,18,36,9,19,38,8,23,43,8,20,44,9,24,48,10,24,49,11,29,52,11,26,53,11,28,56,9,30,62,6,14,31,65,128,0,2,1,2,0,4,0,1,4,1,3,2,0,3,5,1,1,7,1,4,6,2,3,9,2,5,9,3,6,13,3,7,12,4,5,11,3,6,16,2,7,13,4,7,19,4,9,15,2,8,18,4,11,19,5,10,21,4,12,20,5,10,23,1,4,11,22,48,1,0,1,0,1,1,2,2,6,0,0,0,1,2,4,1,1,6,1,2,4,3,2,7,1,3,7,0,5,10,3,6,11,1,0,11,2,6,11,2,6,8,2,5,11,2,5,15,2,6,12,2,8,15,5,7,12,3,8,13,2,9,13,2,2,13,20,44,1,-2,1,1,2,2,2,1,1,1,2,7,2,4,5,0,5,8,3,7,4,2,6,11,2,4,14,3,6,14,1,6,13,4,8,18,5,10,21,6,10,22,3,15,23,4,10,24,7,12,27,4,12,30,6,16,34,5,18,30,6,15,36,6,9,19,40,79
MET_1228_1240,1,0,2,0,1,2,2,1,3,0,2,6,2,3,8,1,6,8,4,5,14,3,5,14,3,9,14,5,8,19,3,9,19,5,10,21,5,11,23,3,12,24,6,12,30,4,13,29,7,15,33,8,13,32,5,16,33,7,17,36,7,19,37,6,7,20,41,85,0,0,0,0,0,1,1,0,1,0,1,1,-1,1,0,0,0,4,0,3,4,2,3,6,0,3,8,1,2,8,1,4,8,3,5,7,2,5,9,1,6,8,3,5,10,0,4,10,3,1,9,2,5,9,3,5,11,2,4,11,4,5,12,2,2,5,7,26,0,1,0,0,0,-1,0,1,0,0,1,2,-1,0,2,1,0,4,0,2,4,0,1,3,1,1,3,1,2,3,2,2,6,0,2,6,1,3,7,1,2,6,1,3,4,0,3,5,2,6,6,0,4,7,0,3,7,1,3,6,2,1,11,2,2,6,13,27,1,0,1,1,1,1,1,1,3,1,1,4,-1,2,1,1,2,6,1,2,6,1,3,8,0,2,5,2,4,9,2,5,7,1,5,11,3,7,12,3,5,11,3,7,17,4,8,15,3,8,11,4,10,7,4,8,18,2,9,18,3,5,18,3,7,15,27,55
VGFR1_1235_1247,0,-2,0,-1,-1,0,0,-1,1,-1,-1,0,-2,-1,-1,1,-2,-1,-1,-2,0,0,-1,-1,1,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,1,-1,-2,2,-1,-1,0,0,-1,0,0,-1,-2,-2,1,-2,-1,0,1,-1,-3,-1,-1,1,1,0,0,-1,0,-1,1,0,2,-1,-1,-1,1,-1,0,-1,3,0,1,-1,-3,-1,-1,-2,0,0,1,0,-1,0,1,0,0,-1,-1,-2,-1,0,0,0,0,-2,-1,-3,-1,0,-3,-1,0,1,0,-1,1,-2,0,0,-1,0,0,-1,-1,1,2,0,1,0,-1,3,-1,1,0,1,0,2,0,0,1,1,-1,0,0,0,0,0,0,-1,0,-1,0,1,1,0,-1,0,-2,1,-1,0,0,0,-1,1,0,-2,0,0,0,-1,0,-1,1,-1,1,0,0,0,0,-1,-2,1,-2,1,1,0,1,0,-1,-1,0,1,-2,0,0,2,0,0,-1,2,0,-1,0,2,1,0,0,1,-1,0,2,-2,-1,-1,-1,-3,-1,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,0,0,-2,0,1,-2,0,2,-3,-1,1,0,-1,2,0,-1,-1,-1,0,1,-2,0,0,-3,-1,-1,-2,0,-1,-2,1,2,0,0,0,-3,-1,-1,-2,-1,1,1,-1,1
ERBB2_1241_1253,-1,-1,0,0,-1,0,1,-1,2,1,2,3,0,1,7,3,2,7,1,4,7,2,6,11,2,5,14,3,7,12,3,5,13,3,8,17,4,7,19,3,8,24,5,10,22,4,13,23,5,13,26,5,13,27,5,13,30,6,15,30,4,17,30,3,6,15,34,78,1,-1,0,-1,-1,1,-1,0,-4,1,1,0,0,-1,-1,0,0,1,2,1,1,1,2,2,0,1,4,1,3,5,3,3,5,1,1,5,1,4,7,1,3,7,1,3,5,2,4,9,2,5,8,1,6,8,1,2,6,0,5,7,1,6,8,1,3,4,11,19,0,-2,0,0,-1,-2,-1,0,1,1,1,1,1,-2,1,0,2,4,-1,1,4,1,1,3,2,1,2,2,1,5,0,0,5,1,2,4,1,4,5,2,2,6,2,1,6,2,2,6,0,3,6,2,1,6,1,2,8,0,1,8,2,5,6,1,3,7,14,33,-1,-1,1,-1,1,-2,-1,0,0,-1,0,1,-1,1,3,2,3,3,0,2,4,0,2,4,2,2,1,1,5,5,0,3,8,3,4,7,1,6,10,2,5,11,3,5,13,3,8,6,1,6,15,4,7,19,5,8,17,0,9,18,5,11,18,2,5,13,23,50
PLCG1_1246_1258,0,0,-2,1,0,-2,0,1,0,-1,-1,2,0,1,0,-1,1,3,1,1,1,0,2,0,0,0,2,-1,2,3,3,-1,2,0,2,5,0,1,1,1,0,4,0,1,6,1,2,5,2,2,7,1,3,4,1,1,6,2,3,7,1,3,5,0,1,6,9,19,1,1,0,-1,1,1,1,-2,-2,0,1,0,0,0,1,0,0,1,1,2,1,0,2,4,1,2,3,0,1,4,-1,1,2,0,0,4,0,1,4,0,2,3,1,1,2,1,2,2,2,2,5,0,1,3,0,2,3,0,2,4,0,1,2,-1,0,2,7,16,0,0,1,-1,0,0,0,3,1,1,1,2,-1,5,2,1,1,1,-1,2,3,0,-1,4,1,1,3,1,4,4,1,3,5,1,3,6,2,4,3,1,2,4,2,2,1,2,2,6,0,2,4,2,1,4,1,0,3,1,2,4,0,1,6,0,2,4,6,20,0,1,0,2,0,1,1,0,0,-1,0,2,1,-1,1,0,1,2,0,3,1,1,-1,0,-1,2,3,1,4,5,2,3,4,0,1,3,1,3,3,0,0,6,1,2,5,0,1,3,1,2,3,0,1,3,1,2,4,2,4,4,1,3,6,1,3,4,8,16
ERBB4_1277_1289,1,0,0,1,1,1,0,0,1,-1,0,1,-2,1,0,1,0,0,0,0,1,0,2,4,-1,2,0,1,3,1,1,1,4,0,2,3,2,1,3,0,3,1,-1,2,5,2,2,5,2,3,6,1,3,6,1,4,6,1,6,5,1,5,6,0,-1,3,7,13,0,1,-1,0,2,-2,0,-1,1,-1,0,0,0,0,0,0,1,-1,0,2,1,-1,-1,-1,0,2,1,0,1,2,0,1,2,-1,1,1,-1,1,-1,1,0,3,1,0,3,0,1,3,1,2,3,0,-1,3,0,2,2,2,0,3,0,-1,3,-1,1,3,4,4,1,0,0,0,-2,-4,0,-1,-2,0,-2,0,0,0,-1,0,0,-1,0,-1,-2,-1,-1,0,0,0,-1,-2,2,0,0,-1,0,-1,0,-2,-1,2,4,1,2,-1,0,-1,-1,1,1,-1,0,0,2,-1,0,3,0,2,2,1,0,2,1,1,0,-1,2,2,3,10,-1,1,-1,-1,1,-2,0,-1,1,1,2,-2,0,2,-1,0,1,1,1,1,1,1,1,1,-1,0,2,0,1,1,1,-2,4,0,2,2,1,3,0,1,2,4,2,1,3,2,3,1,1,1,5,1,1,7,0,2,4,0,3,7,1,1,7,3,0,6,8,12
