Array,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4
JAK1_1027_1039,0,0,-1,1,3,0,1,2,0,0,2,9,2,7,12,2,8,17,6,9,22,5,13,25,5,14,31,6,15,34,7,18,37,9,20,43,9,21,47,9,26,50,10,24,53,11,27,57,10,28,60,12,31,64,13,35,70,14,34,73,15,35,77,8,14,35,75,155,0,0,1,1,1,2,0,0,1,1,1,2,1,3,5,0,4,6,3,1,6,2,4,8,2,5,9,3,5,13,4,7,14,1,7,14,3,8,17,4,9,17,6,12,20,4,10,18,5,7,18,5,12,20,5,11,23,4,12,24,6,14,26,3,7,10,28,57,0,2,1,-1,-1,0,0,-2,0,1,1,1,1,1,4,0,0,3,1,0,3,2,3,5,1,3,7,1,5,7,1,4,7,2,4,9,3,5,11,2,3,12,3,5,9,2,7,11,3,8,12,3,8,14,0,8,15,3,8,16,3,9,14,2,4,11,19,41,0,-1,1,2,0,0,0,1,1,1,3,4,2,5,7,3,6,11,1,3,7,4,6,14,2,9,14,4,8,17,4,10,22,5,13,26,5,15,28,5,14,29,5,15,32,8,19,35,7,21,38,8,21,40,9,21,42,11,24,45,9,23,51,4,10,23,42,97
VGFR1_1040_1052,0,0,0,0,1,1,-1,0,2,-1,1,1,1,1,5,2,1,4,0,2,7,1,4,5,2,3,9,3,4,8,1,4,12,2,6,12,2,6,11,3,6,13,3,6,10,2,7,16,3,8,13,2,6,14,1,7,16,3,9,16,4,8,14,2,4,9,19,34,0,1,1,0,0,-1,1,-2,-2,-1,-1,2,0,1,0,-1,0,2,0,0,-2,1,1,4,1,0,3,0,2,2,0,3,2,-1,1,2,2,3,3,2,0,4,1,1,5,2,3,1,1,2,4,2,0,4,1,3,4,1,3,4,3,4,1,0,2,6,8,19,0,0,1,-1,1,-1,0,0,0,0,2,0,0,1,0,1,2,0,0,0,3,-1,-1,1,1,2,3,2,2,2,1,3,0,2,1,4,1,2,2,2,3,5,2,0,2,1,2,6,1,1,6,1,0,5,0,3,7,-1,2,6,2,5,8,3,2,6,10,15,1,0,-2,0,-1,1,0,-1,0,2,1,0,0,2,1,1,0,1,0,1,4,0,1,4,1,3,3,1,1,2,0,1,5,2,4,5,2,1,5,2,4,4,3,-1,8,0,3,7,2,0,9,3,4,8,2,4,7,3,4,10,1,3,9,1,3,7,11,23
VGFR1_1046_1058_Y1048F,0,0,1,-2,-1,-1,-2,0,3,-1,0,-1,-2,1,0,0,1,1,-1,-2,-2,0,0,0,1,1,1,1,1,0,-1,0,2,-1,2,0,1,-2,1,1,1,-2,0,0,1,1,0,1,1,0,-1,-1,0,-1,0,0,0,0,0,1,2,0,-4,-2,1,0,0,0,0,-1,0,1,0,1,0,0,2,2,1,-1,1,0,0,1,-1,3,-1,2,-1,1,-2,-2,0,0,-3,-1,0,1,0,0,0,1,-1,-1,0,1,0,0,1,0,-1,0,2,1,1,2,1,0,0,0,1,1,1,0,-2,1,-1,-1,0,-2,0,0,-2,-1,2,0,1,1,0,1,1,0,0,3,2,2,-1,1,-1,1,0,0,0,-1,2,-1,1,0,-1,0,1,-2,0,1,0,-2,2,1,3,0,0,0,-1,0,3,0,1,2,0,-1,-1,1,1,2,0,1,-1,1,-1,0,0,2,3,-1,1,1,0,-1,1,0,2,1,2,6,0,2,3,-1,0,0,0,2,-1,2,1,0,-2,0,0,0,-1,2,1,-1,2,-3,-1,3,-1,2,3,-1,-1,3,0,0,0,1,1,1,1,0,1,-1,2,2,0,1,3,0,0,3,1,2,2,0,2,-1,-1,0,-1,1,1,3,2,0,2,-1,0,1,1,1
VGFR1_1049_1061,2,1,0,-1,0,4,-1,1,1,0,0,1,1,-1,2,0,0,1,1,0,1,0,0,-1,0,-1,0,0,0,1,0,0,0,0,-1,0,1,0,1,0,-1,2,0,-3,0,0,0,1,-1,0,-2,0,1,-1,1,0,0,0,-3,-1,1,-2,-1,0,-1,-1,-3,-4,1,-1,0,-1,-1,1,0,-1,0,0,-2,-2,1,0,-2,-1,-1,-1,0,0,-3,0,-1,-1,0,-3,-1,-1,-1,-3,-1,-1,1,0,-1,-4,-1,-3,-1,0,-2,-2,-2,0,-4,-1,-1,-1,-1,-1,-3,0,-1,-3,0,1,-1,-2,-2,-2,1,0,1,0,-1,0,-3,-4,0,0,2,1,-1,3,1,2,0,1,1,-1,-2,1,2,0,-1,-1,1,-2,2,0,-1,-1,-1,1,-1,-1,0,-1,-2,-2,0,0,0,-1,0,-1,2,2,0,0,2,0,-1,1,-1,-2,0,1,0,-1,1,1,-1,0,-1,0,0,-1,0,-1,0,0,1,-1,-1,-5,0,0,0,0,1,-2,0,-1,0,0,1,1,0,2,-1,-1,-1,1,0,0,-2,1,-1,-1,-1,0,2,-1,-1,-1,0,-2,-4,-1,-1,-2,1,-1,-2,-1,-1,-1,-2,0,-1,0,-1,-3,-1,-1,-3,1,-2,0,-1,-1,-1,0,-2,0,0,0,0,-1,-1,-2,-2,-4
TYK2_1048_1060,0,1,0,0,0,2,0,1,4,1,3,3,-1,4,5,-1,3,6,0,4,10,3,7,9,3,3,10,1,4,12,2,7,15,2,8,13,3,8,15,3,8,16,1,7,16,5,9,17,2,10,19,4,10,20,5,12,21,4,12,24,4,10,25,2,3,11,24,45,0,1,1,0,1,1,1,1,2,2,1,4,1,2,2,1,3,2,1,3,6,2,1,4,0,2,5,1,1,6,1,5,4,2,5,8,3,4,10,1,4,10,2,5,13,1,3,9,1,7,11,2,5,11,2,5,10,0,5,10,2,5,11,0,2,8,14,29,-1,0,0,0,1,3,1,0,1,1,0,1,1,0,1,0,1,2,2,3,0,1,2,4,2,4,7,1,7,5,-1,3,4,1,5,6,1,4,8,2,3,7,2,5,6,3,4,8,1,4,8,-1,5,7,0,1,5,1,3,4,0,2,6,2,1,5,7,22,1,0,0,0,2,2,1,0,-2,0,2,5,2,2,1,1,2,5,1,2,5,1,2,3,1,2,8,1,3,11,2,6,11,0,5,11,5,5,11,3,3,12,3,6,15,1,5,13,2,6,13,3,8,16,5,6,15,3,9,16,3,8,17,1,3,8,15,31
VGFR2_1046_1058,1,1,2,1,0,0,0,1,0,1,2,-2,1,2,3,1,2,4,1,2,3,1,2,4,0,3,5,2,4,6,2,5,8,1,4,7,1,6,9,2,5,8,2,4,10,1,6,11,2,8,12,1,7,13,3,8,12,4,5,12,3,5,12,1,1,6,15,29,-2,1,-1,0,-2,-2,-1,-1,0,0,0,3,0,0,1,0,1,3,1,-2,2,2,2,2,1,2,4,0,1,3,0,2,1,-1,0,6,2,2,5,0,3,5,2,2,5,2,3,3,1,2,6,1,3,6,1,4,6,1,4,8,2,0,8,2,3,7,12,17,0,0,-1,1,0,0,1,3,-2,2,-1,0,0,1,-2,0,-1,1,-1,0,3,-2,2,2,2,1,3,0,1,0,0,1,3,1,2,2,2,1,4,0,1,4,0,3,4,0,1,1,1,2,2,1,3,4,1,0,5,1,1,4,2,4,5,0,1,3,8,16,1,-1,0,-1,-1,-1,0,1,0,-1,1,2,-1,1,3,2,1,3,2,3,3,1,1,4,0,5,3,2,5,3,1,3,6,0,4,7,1,4,10,2,3,8,2,4,8,1,3,8,3,4,9,1,5,8,4,5,11,1,5,12,2,6,10,0,2,9,15,31
VGFR3_1061_1073,-1,0,2,-1,1,-1,0,0,2,0,1,2,1,2,3,1,0,3,1,0,2,1,0,2,1,3,4,0,3,6,1,5,7,0,3,8,3,2,6,2,1,5,1,3,7,1,3,7,1,2,7,1,5,7,2,4,9,1,3,6,2,5,9,-1,1,5,9,17,-1,0,0,-1,-1,0,0,3,1,-1,-2,0,1,0,-2,1,1,-1,-1,-2,0,0,2,3,0,0,0,0,1,1,0,0,0,0,1,0,2,3,1,0,1,3,-1,1,0,0,0,3,0,2,3,0,2,3,0,-1,3,1,2,1,2,2,5,1,1,2,5,10,0,1,2,1,-1,0,1,1,-1,0,0,0,-2,0,0,-1,0,0,-1,1,0,0,-1,1,0,-2,0,0,2,0,0,1,0,-1,1,2,1,-1,0,-1,0,1,-2,0,1,1,1,1,1,1,3,0,2,2,0,0,0,-1,0,3,0,4,3,0,0,1,3,1,2,2,0,-1,0,0,1,0,0,2,1,0,1,0,1,0,0,2,1,-2,0,1,2,1,1,3,3,1,2,4,1,1,4,-1,3,3,1,1,5,1,-1,3,1,2,5,0,1,1,2,1,5,3,2,5,-1,1,4,1,1,4,2,1,6,2,2,3,6,8
EGFR_1062_1074,-1,0,0,0,1,-3,-1,-1,-4,-2,-1,-3,1,-2,1,1,0,-1,-1,-1,0,-2,1,-1,0,0,-1,0,-2,-3,0,-1,0,0,0,-2,0,1,2,0,1,1,0,1,1,1,0,-1,1,1,2,0,1,1,0,0,-2,-1,-2,0,1,0,1,0,0,1,-2,6,-1,1,0,-1,-1,-1,0,-1,-2,0,1,-1,-1,0,-1,0,-1,-2,0,-1,-1,0,-2,0,0,0,1,1,0,2,1,0,2,0,2,0,1,2,1,1,1,1,1,2,5,0,2,2,1,1,0,-1,-1,1,1,0,1,0,1,3,1,2,0,1,2,-1,5,6,1,0,1,-1,1,-3,0,-1,0,1,-1,0,0,0,-1,0,0,-2,0,1,-1,0,0,0,0,-1,-2,-1,0,-1,1,0,1,3,0,1,0,-1,2,0,-1,0,2,-1,0,0,1,1,0,0,1,0,1,3,0,2,4,0,0,2,1,0,3,1,0,2,6,6,0,0,-1,-1,-1,0,0,0,0,1,0,-1,0,1,0,1,0,-2,-2,1,0,-1,0,1,0,1,-1,0,-1,1,0,2,0,-1,0,2,1,1,0,0,0,2,1,-2,1,-2,1,2,1,1,2,0,1,1,1,0,0,0,2,1,0,3,1,-1,0,2,1,5
RBL2_99_111,0,-1,3,1,-3,0,1,0,-1,-1,-1,-1,-2,-1,-2,0,-1,-2,-1,1,-1,0,1,-2,-1,-1,0,-1,2,0,0,0,0,1,0,2,-1,3,3,0,1,1,0,2,3,1,-1,2,0,2,4,-1,1,5,0,0,3,1,0,3,2,1,4,1,1,2,7,12,-1,-1,1,-1,-1,-1,-1,-1,-2,-2,0,-1,-2,-1,-1,0,-1,-2,-1,0,0,-1,0,-1,0,0,-1,1,3,1,0,2,-3,0,1,0,0,1,0,2,1,0,1,-1,-1,0,0,-1,1,-1,2,0,-1,1,1,2,-1,0,0,0,0,1,1,1,1,0,6,11,1,-1,0,-1,0,0,1,1,0,0,0,-2,0,-1,-1,0,-1,1,-1,1,-3,1,0,-1,0,3,-1,0,-1,-2,0,0,-1,1,0,-3,0,1,2,2,0,0,0,-1,0,-1,0,1,0,0,1,0,3,2,0,-2,1,1,1,0,1,-1,0,0,0,2,1,7,0,1,2,0,1,-2,0,-1,0,0,-2,0,0,0,-1,0,1,-1,2,0,-1,0,0,-2,-2,0,0,2,2,0,1,0,4,-1,0,0,0,1,0,1,0,1,-1,1,1,1,-1,1,0,-1,3,0,0,0,1,1,4,0,1,1,1,4,5,-1,0,3,0,-2
CD3Z_105_117,-1,0,3,0,2,2,1,2,11,3,8,15,5,7,24,6,14,28,5,14,35,7,22,44,8,21,44,10,29,56,13,31,67,14,36,72,14,38,78,16,43,82,18,44,92,17,48,97,20,53,103,21,55,110,20,60,116,25,61,125,27,62,130,14,28,68,144,285,1,0,0,-1,1,0,0,2,0,0,1,5,1,3,0,1,1,8,1,4,10,1,4,10,4,7,14,2,7,11,3,6,21,6,12,25,4,10,19,3,13,27,7,14,26,5,14,33,5,14,32,7,19,36,5,19,34,8,20,37,9,19,39,6,4,19,39,93,-1,-1,-1,0,-2,-4,0,1,1,1,0,-1,-1,0,0,0,0,2,-2,1,4,2,-1,5,1,4,8,2,4,9,3,4,10,1,4,6,2,5,11,1,8,16,1,7,20,4,7,20,5,11,19,0,8,20,5,10,24,5,11,29,4,10,28,2,4,11,26,66,0,0,-1,1,0,2,2,0,1,0,2,4,0,3,9,2,5,16,5,7,14,4,10,23,4,13,23,6,17,36,6,17,35,10,18,37,7,23,48,9,29,56,10,27,58,9,28,60,12,33,65,15,34,80,15,34,76,14,34,80,17,45,82,9,19,45,94,197
