name,X,Y
EFS_246_258_Y253F,-0.040956384106804106,0.21182598127968252
PGFRB_1014_1028,-0.10124986837911136,-0.33446161615357234
RET_1022_1034,0.27432239792849955,-0.01469151044749368
JAK1_1027_1039,0.09580599399382553,-0.26076343629632176
CD3Z_105_117,0.21804705648100522,-0.1432316252913528
VGFR2_1168_1180,0.07505714199050191,-0.21294919494969186
PAXI_111_123,0.27859156715245265,0.04353848289510794
PLCG2_1191_1203_C1200S,0.2464797580644153,0.2215231560786232
PLCG2_1211_1223,-0.04252599219354664,0.07770313965781141
MET_1227_1239,0.19158045838855053,-0.19093644590389205
MET_1228_1240,0.13285889850207294,-0.20214829768540232
CDK1_9_21,0.2854059692792195,-0.052739074220948076
CDK2_8_20,0.3249759860953607,0.06665711973179818
CD70_9_21_C17S,0.039539193677655925,0.021795133939681428
CDK4_11_23,0.13197659411842405,-0.2533358415242775
CD79A_181_193,-0.24946283620236234,-0.004378535085971755
MK08_181_191,-0.13352015445721743,0.41571846718093447
CD3E_182_194,0.1630732703668041,-0.2268782865064188
CD28_185_197,-0.11197951850679146,0.05902456049887694
CD3E_193_205,0.3144892523068335,0.15321292859798114
MBP_198_210,0.06061809159709637,0.07428927276383453
MAPK3_198_210_C203S,0.03500344484089007,-0.18409017151226553
MK03_199_208,0.20750942803218073,-0.019158517774179717
CD28_203_215,0.14451971864854035,0.16863330608249635
PRRX2_202_214,0.18589608203690614,-0.15367261829848652
ANXA1_14_26,0.20538432819105673,-0.09201040987265302
GSK3B_210_222_C218S,-0.18304596688953026,0.34345149047565027
MK10_216_228,0.23198818422855855,0.08512887283081313
MPZL1_236_246,0.29679066093761447,0.018218771557515813
EFS_246_258,0.2761470103682323,0.13563439841357186
LAT_249_261,0.13351290783779435,-0.11264458552671382
BTLA_252_262,0.24090370108712827,0.18531691521346125
HAVR2_257_267,0.3015738858150249,0.09385248298118193
VISTA_260_270,0.08761584338607155,0.28241217203044444
ARAF_297_307,-0.4145071578483357,0.20109130069402006
PAXI_24_36,0.013419438852406353,0.46050969720186447
ZAP70_313_325,0.05960818760535564,0.43681803702894045
DYR1A_312_324,0.14435427951951188,0.06213761699756518
NCF1_313_325,-0.007396279164963791,0.0602419823313676
AKT1_320_332,0.1760876225913123,0.3086762480935307
RAF1_332_344,-0.39534062547289867,0.260922992786324
EPOR_361_373,0.2456044607206383,-0.06876908000753909
PDPK1_369_381,0.06262975400612698,0.35107781128510546
FRK_380_392,0.29025099522304076,0.1973345597248027
LCK_387_399,-0.3639428368877906,0.301373754688079
LYN_391_403,-0.4035626010182178,-0.08559546877357985
EPOR_419_431,0.026709726351970362,0.43042099204101303
YES_420_432,0.230111277774855,-0.11323882600894247
